trip_id,origin_scheduled_time,destination_scheduled_time
13678587, 5:55:00, 6:14:00
13678588, 6:15:00, 6:32:00
13678589, 6:28:00, 6:45:00
13678590, 6:38:00, 6:55:00
13678591, 6:57:00, 7:15:00
13678592, 7:27:00, 7:45:00
13678593,10:23:00,10:43:00
13678594,10:53:00,11:13:00
13678595,11:13:00,11:33:00
13678596,11:23:00,11:43:00
13678597,11:53:00,12:13:00
13678598,12:03:00,12:23:00
13678599,12:43:00,13:03:00
13678600,12:53:00,13:13:00
13678601,13:03:00,13:24:00
13678602,13:33:00,13:54:00
13678603,13:53:00,14:14:00
13678604,10:33:00,10:53:00
13678605,11:43:00,12:03:00
13678606,12:23:00,12:43:00
13678607,13:23:00,13:44:00
13678608,19:13:00,19:33:00
13678609,19:28:00,19:48:00
13678610,20:13:00,20:32:00
13678611,20:43:00,21:02:00
13678612,21:40:00,21:55:00
13678613,22:20:00,22:35:00
13678614,23:10:00,23:25:00
13678615,24:10:00,24:25:00
13678616,25:10:00,25:25:00
13678617, 7:39:00, 7:57:00
13678618,10:13:00,10:33:00
13678619, 7:09:00, 7:27:00
13678620, 7:51:00, 8:09:00
13678621, 8:03:00, 8:21:00
13678622, 8:26:00, 8:44:00
13678623, 8:32:00, 8:52:00
13678624, 8:44:00, 9:04:00
13678625, 9:02:00, 9:20:00
13678626, 9:16:00, 9:34:00
13678627, 9:22:00, 9:40:00
13678628, 9:57:00,10:15:00
13678629,15:07:00,15:28:00
13678630,15:45:00,16:05:00
13678631,16:04:00,16:25:00
13678632,19:58:00,20:18:00
13678633,21:00:00,21:15:00
13678634,14:03:00,14:24:00
13678635,14:13:00,14:34:00
13678636,14:23:00,14:44:00
13678637,14:33:00,14:54:00
13678638,14:43:00,15:04:00
13678639,14:52:00,15:13:00
13678640,15:15:00,15:35:00
13678641,15:22:00,15:42:00
13678642,15:30:00,15:50:00
13678643,15:37:00,15:57:00
13678644,15:52:00,16:12:00
13678645,15:58:00,16:18:00
13678646,16:10:00,16:31:00
13678647,16:16:00,16:37:00
13678648,16:22:00,16:43:00
13678649,16:28:00,16:49:00
13678650,16:34:00,16:55:00
13678651,16:40:00,17:01:00
13678652,16:46:00,17:07:00
13678653,16:52:00,17:13:00
13678654,16:58:00,17:19:00
13678655,17:04:00,17:25:00
13678656,17:11:00,17:32:00
13678657,17:17:00,17:37:00
13678658,17:29:00,17:49:00
13678659,17:35:00,17:55:00
13678660,17:42:00,18:02:00
13678661,17:48:00,18:08:00
13678662,17:54:00,18:14:00
13678663,18:01:00,18:21:00
13678664,18:11:00,18:31:00
13678665,18:21:00,18:41:00
13678666,18:33:00,18:53:00
13678667,18:45:00,19:05:00
13678668, 6:48:00, 7:06:00
13678669, 7:03:00, 7:21:00
13678670, 7:15:00, 7:33:00
13678671, 7:21:00, 7:39:00
13678672, 7:45:00, 8:03:00
13678673, 7:57:00, 8:15:00
13678674, 8:09:00, 8:27:00
13678675, 8:21:00, 8:39:00
13678676, 8:38:00, 8:58:00
13678677, 8:50:00, 9:10:00
13678678, 9:08:00, 9:26:00
13678679, 9:36:00, 9:54:00
13678680, 9:29:00, 9:47:00
13678681, 9:50:00,10:08:00
13678682,10:04:00,10:24:00
13678683,10:43:00,11:03:00
13678684,11:03:00,11:23:00
13678685,11:33:00,11:53:00
13678686,12:13:00,12:33:00
13678687,12:33:00,12:53:00
13678688,13:13:00,13:34:00
13678689,13:43:00,14:04:00
13678690,15:00:00,15:21:00
13678691,17:23:00,17:43:00
13678692,18:58:00,19:18:00
13678693,19:43:00,20:03:00
13678694,20:28:00,20:47:00
13678695,21:20:00,21:35:00
13678696,22:00:00,22:15:00
13678697,22:40:00,22:55:00
13678698,23:40:00,23:55:00
13678699,24:40:00,24:55:00
13678700,25:40:00,25:55:00
13678701, 7:33:00, 7:51:00
13678702, 8:15:00, 8:33:00
13678703, 8:56:00, 9:16:00
13678704, 9:43:00,10:01:00
13678762,24:58:00,25:12:00
13678763,23:43:00,23:57:00
13678764,24:20:00,24:34:00
13678765,23:06:00,23:20:00
13678766,22:28:00,22:43:00
13678767,21:56:00,22:11:00
13678768,21:38:00,21:53:00
13678769, 7:15:00, 7:29:00
13678770, 6:55:00, 7:09:00
13678771, 7:35:00, 7:50:00
13678772, 7:55:00, 8:10:00
13678773, 8:15:00, 8:30:00
13678774, 8:35:00, 8:50:00
13678775, 8:55:00, 9:10:00
13678776, 9:15:00, 9:30:00
13678777, 9:35:00, 9:50:00
13678778, 9:55:00,10:10:00
13678779,10:15:00,10:30:00
13678780,10:35:00,10:50:00
13678781,10:55:00,11:10:00
13678782,11:15:00,11:34:00
13678783,11:35:00,11:51:00
13678784,11:52:00,12:08:00
13678785,12:22:00,12:40:00
13678786,12:37:00,12:55:00
13678787,12:52:00,13:10:00
13678788,13:22:00,13:40:00
13678789,13:37:00,13:55:00
13678790,13:52:00,14:10:00
13678791,14:22:00,14:40:00
13678792,14:37:00,14:55:00
13678793,14:52:00,15:10:00
13678794,15:22:00,15:40:00
13678795,15:37:00,15:53:00
13678796,15:52:00,16:08:00
13678797,16:22:00,16:40:00
13678798,16:37:00,16:55:00
13678799,16:52:00,17:10:00
13678800,17:22:00,17:38:00
13678801,17:39:00,17:55:00
13678802,17:57:00,18:13:00
13678803,12:07:00,12:25:00
13678804,13:07:00,13:25:00
13678805,14:07:00,14:25:00
13678806,15:07:00,15:25:00
13678807,16:07:00,16:23:00
13678808,17:07:00,17:25:00
13678809,18:17:00,18:33:00
13678810,18:37:00,18:53:00
13678811,18:57:00,19:13:00
13678812,19:18:00,19:34:00
13678813,19:38:00,19:54:00
13678814,19:58:00,20:14:00
13678815,20:19:00,20:34:00
13678816,20:39:00,20:54:00
13678817,20:58:00,21:13:00
13678818,21:19:00,21:34:00
13678866,16:55:00,17:12:00
13678867,13:55:00,14:12:00
13678868,13:35:00,13:52:00
13678869,16:35:00,16:52:00
13678870,19:35:00,19:53:00
13678871,18:55:00,19:12:00
13678872,12:55:00,13:12:00
13678873,18:35:00,18:52:00
13678874,17:55:00,18:12:00
13678875,12:35:00,12:52:00
13678876,14:35:00,14:52:00
13678877,24:00:00,24:14:00
13678878,23:30:00,23:44:00
13678879,10:55:00,11:12:00
13678880,23:00:00,23:14:00
13678881, 9:35:00, 9:52:00
13678882,11:55:00,12:12:00
13678883,15:55:00,16:12:00
13678884, 9:55:00,10:12:00
13678885,17:35:00,17:52:00
13678886, 7:57:00, 8:11:00
13678887, 8:37:00, 8:53:00
13678888, 8:57:00, 9:13:00
13678889,11:35:00,11:52:00
13678890,10:35:00,10:52:00
13678891,15:35:00,15:52:00
13678892,14:55:00,15:12:00
13678893,22:00:00,22:14:00
13678894,24:30:00,24:44:00
13678895,21:30:00,21:45:00
13678896,21:00:00,21:15:00
13678897,20:40:00,20:55:00
13678898,22:30:00,22:44:00
13678899, 8:17:00, 8:33:00
13678900, 9:15:00, 9:30:00
13678901,10:15:00,10:32:00
13678902,11:15:00,11:32:00
13678903,12:15:00,12:32:00
13678904,13:15:00,13:32:00
13678905,14:15:00,14:32:00
13678906,15:15:00,15:32:00
13678907,16:15:00,16:32:00
13678908,17:15:00,17:32:00
13678909,18:15:00,18:32:00
13678910,19:15:00,19:32:00
13678911,20:15:00,20:34:00
13678912,19:55:00,20:13:00
